fund_est,code_fund_est
LHV Pensionifond Eesti,78
LHV Pensionifond Indeks,73
LHV Pensionifond L,47
LHV Pensionifond M,39
LHV Pensionifond S,46
LHV Pensionifond XL,38
LHV Pensionifond XS,59
Luminor A Pensionifond,48
Luminor A Pluss Pensionifond,57
Luminor B Pensionifond,49
Luminor C Pensionifond,50
SEB Energiline Pensionifond,56
SEB Energiline Pensionifond Indeks,75
SEB Konservatiivne Pensionifond,60
SEB Optimaalne Pensionifond,51
SEB Progressiivne Pensionifond,61
Swedbank Pensionifond K1 (Konservatiivne strateegia),58
Swedbank Pensionifond K2 (Tasakaalustatud strateegia),36
Swedbank Pensionifond K3 (Kasvustrateegia),37
Swedbank Pensionifond K4 (Aktsiastrateegia),52
Swedbank Pensionifond K90-99 (Elutsükli strateegia),74
Tuleva Maailma Aktsiate Pensionifond,77
Tuleva Maailma Võlakirjade Pensionifond,76
